38,19
583,58
260,129
1942,193
149,74
1554,155
112,56
1554,155
297,147
777,78
334,166
971,97
371,184
583,58
334,166
1942,193
334,166
777,78
75,37
1942,193
371,184
1360,135
371,184
195,20
149,74
195,20
149,74
777,78
186,92
1942,193
38,19
1166,116
223,111
971,97
371,184
1360,135
297,147
583,58
334,166
1942,193
371,184
583,58
223,111
1942,193
297,147
1554,155
371,184
1166,116
223,111
1554,155
38,19
1166,116
75,37
777,78
260,129
777,78
297,147
1942,193
223,111
971,97
38,19
1360,135
149,74
583,58
260,129
389,39
38,19
971,97
334,166
195,20
75,37
389,39
297,147
1554,155
371,184
583,58
260,129
1554,155
112,56
195,20
260,129
583,58
260,129
971,97
112,56
971,97
112,56
1360,135
38,19
1166,116
186,92
583,58
260,129
583,58
223,111
1942,193
297,147
971,97
38,19
1360,135
297,147
195,20
149,74
1360,135
149,74
1554,155
75,37
777,78
371,184
389,39
112,56
971,97
38,19
1166,116
223,111
1554,155
260,129
1942,193
38,19
389,39
186,92
1942,193
260,129
389,39
371,184
971,97
112,56
971,97
371,184
583,58
371,184
971,97
186,92
195,20
334,166
777,78
112,56
583,58
334,166
1166,116
38,19
1554,155
223,111
1748,174
297,147
1554,155
297,147
1360,135
112,56
583,58
75,37
1166,116
260,129
1748,174
38,19
1554,155
149,74
777,78
149,74
583,58
334,166
1360,135
371,184
389,39
75,37
1166,116
75,37
583,58
223,111
777,78
38,19
971,97
186,92
1748,174
297,147
1166,116
186,92
583,58
371,184
1360,135
260,129
389,39
223,111
583,58
38,19
195,20
260,129
195,20
260,129
1360,135
334,166
1942,193
75,37
1166,116
334,166
389,39
334,166
1942,193
371,184
1942,193
260,129
389,39
149,74
1942,193
371,184
1554,155
186,92
1942,193
75,37
195,20
334,166
389,39
297,147
1748,174
75,37
1166,116
371,184
1360,135
38,19
1554,155
75,37
1942,193
186,92
1360,135
334,166
777,78
371,184
1554,155
75,37
389,39
371,184
389,39
38,19
1554,155
297,147
583,58
38,19
1748,174
186,92
1360,135
334,166
1554,155
186,92
1360,135
297,147
1166,116
112,56
583,58
297,147
1748,174
112,56
971,97
223,111
389,39
297,147
389,39
297,147
583,58
75,37
1360,135
149,74
777,78
334,166
1942,193
38,19
195,20
149,74
389,39
297,147
1166,116
297,147
777,78
297,147
971,97
223,111
1554,155
149,74
1942,193
75,37
1166,116
371,184
1942,193
260,129
583,58
38,19
1360,135
75,37
583,58
260,129
1942,193
112,56
1942,193
112,56
1360,135
297,147
1166,116
297,147
971,97
38,19
195,20
112,56
583,58
297,147
1166,116
112,56
971,97
149,74
1554,155
38,19
195,20
260,129
1748,174
371,184
195,20
75,37
1166,116
334,166
1360,135
186,92
583,58
38,19
1748,174
297,147
1748,174
75,37
1360,135
149,74
583,58
297,147
583,58
149,74
195,20
112,56
971,97
371,184
1942,193
149,74
1748,174
149,74
777,78
371,184
583,58
223,111
389,39
260,129
195,20
297,147
1554,155
260,129
1166,116
260,129
1360,135
38,19
1166,116
149,74
195,20
297,147
1748,174
297,147
389,39
223,111
195,20
297,147
583,58
334,166
1748,174
186,92
195,20
75,37
583,58
260,129
1942,193
149,74
1748,174
38,19
1748,174
112,56
389,39
260,129
777,78
112,56
1554,155
334,166
971,97
297,147
1748,174
149,74
195,20
371,184
195,20
75,37
1554,155
75,37
389,39
260,129
1166,116
334,166
583,58
371,184
1748,174
75,37
389,39
186,92
1942,193
75,37
389,39
223,111
1166,116
112,56
777,78
260,129
389,39
223,111
195,20
112,56
1166,116
371,184
1748,174
260,129
195,20
297,147
1166,116
186,92
583,58
297,147
195,20
38,19
1360,135
371,184
1360,135
38,19
777,78
260,129
1942,193
371,184
389,39
149,74
583,58
38,19
971,97
112,56
1942,193
334,166
1166,116
75,37
1554,155
371,184
1748,174
371,184
195,20
186,92
1166,116
334,166
1942,193
297,147
1748,174
149,74
1360,135
334,166
971,97
260,129
1360,135
38,19
1360,135
260,129
971,97
75,37
777,78
75,37
971,97
149,74
583,58
186,92
195,20
38,19
195,20
260,129
1166,116
297,147
1166,116
223,111
1360,135
260,129
777,78
149,74
971,97
223,111
1942,193
75,37
389,39
223,111
1166,116
297,147
389,39
223,111
1166,116
223,111
971,97
186,92
583,58
112,56
1554,155
260,129
583,58
223,111
195,20
371,184
1748,174
297,147
1554,155
75,37
971,97
334,166
1748,174
260,129
195,20
371,184
1748,174
371,184
1166,116
186,92
1166,116
223,111
1360,135
112,56
1942,193
260,129
777,78
149,74
1554,155
149,74
971,97
112,56
1360,135
149,74
1942,193
149,74
777,78
334,166
1748,174
223,111
389,39
149,74
1166,116
297,147
195,20
223,111
389,39
223,111
1942,193
112,56
389,39
149,74
1554,155
38,19
583,58
186,92
1748,174
186,92
1554,155
112,56
1166,116
112,56
389,39
149,74
389,39
186,92
1166,116
112,56
195,20
38,19
583,58
223,111
1554,155
260,129
1360,135
75,37
389,39
223,111
1166,116
297,147
1166,116
186,92
777,78
260,129
1554,155
297,147
971,97
371,184
1360,135
38,19
1360,135
371,184
1748,174
149,74
389,39
186,92
1166,116
334,166
1748,174
297,147
583,58
112,56
1360,135
186,92
777,78
297,147
195,20
75,37
583,58
297,147
1360,135
149,74
583,58
75,37
971,97
260,129
1166,116
260,129
1942,193
112,56
1554,155
297,147
1554,155
38,19
583,58
223,111
583,58
297,147
1942,193
38,19
389,39
149,74
195,20
260,129
583,58
149,74
1942,193
260,129
1942,193
297,147
777,78
38,19
777,78
149,74
777,78
334,166
1942,193
149,74
195,20
149,74
1166,116
75,37
971,97
112,56
1166,116
112,56
1554,155
260,129
1166,116
186,92
1554,155
260,129
1942,193
297,147
1554,155
260,129
1942,193
149,74
389,39
260,129
1166,116
112,56
777,78
334,166
777,78
112,56
583,58
223,111
971,97
186,92
777,78
260,129
583,58
38,19
1748,174
75,37
195,20
38,19
1554,155
223,111
1942,193
223,111
389,39
149,74
1166,116
371,184
777,78
112,56
1748,174
75,37
1166,116
297,147
1748,174
38,19
1360,135
223,111
1942,193
149,74
1554,155
334,166
1166,116
112,56
777,78
112,56
195,20
371,184
1166,116
186,92
583,58
149,74
1360,135
371,184
389,39
223,111
1748,174
75,37
971,97
38,19
583,58
297,147
195,20
334,166
195,20
149,74
583,58
38,19
1554,155
75,37
1166,116
149,74
389,39
371,184
1360,135
297,147
583,58
260,129
777,78
38,19
777,78
223,111
1166,116
186,92
583,58
223,111
195,20
223,111
1554,155
112,56
777,78
334,166
777,78
75,37
389,39
38,19
389,39
149,74
1360,135
75,37
1360,135
223,111
1748,174
297,147
1166,116
75,37
389,39
334,166
1748,174
223,111
1166,116
297,147
1166,116
149,74
1360,135
260,129
195,20
186,92
583,58
75,37
971,97
149,74
583,58
223,111
777,78
334,166
389,39
149,74
777,78
38,19
1748,174
371,184
583,58
371,184
583,58
260,129
583,58
223,111
195,20
149,74
1360,135
223,111
195,20
223,111
389,39
112,56
1554,155
297,147
1748,174
149,74
583,58
371,184
1748,174
297,147
777,78
334,166
1166,116
297,147
971,97
75,37
1748,174
186,92
1166,116
112,56
389,39
223,111
971,97
186,92
971,97
186,92
1554,155
223,111
195,20
112,56
777,78
38,19
389,39
186,92
1360,135
186,92
1166,116
38,19
1166,116
75,37
195,20
371,184
971,97
75,37
1942,193
75,37
583,58
223,111
1360,135
334,166
1942,193
371,184
195,20
260,129
1748,174
297,147
583,58
223,111
1942,193
38,19
777,78
186,92
195,20
75,37
389,39
371,184
971,97
223,111
1942,193
371,184
777,78
260,129
1166,116
334,166
583,58
223,111
777,78
334,166
1360,135
297,147
777,78
38,19
971,97
371,184
971,97
186,92
1748,174
38,19
971,97
186,92
1748,174
334,166
777,78
75,37
1748,174
260,129
777,78
260,129
1942,193
186,92
195,20
149,74
389,39
260,129
583,58
112,56
1942,193
371,184
1360,135
223,111
777,78
112,56
1554,155
260,129
777,78
260,129
389,39
260,129
1748,174
149,74
1942,193
371,184
777,78
75,37
583,58
371,184
195,20
149,74
777,78
112,56
583,58
260,129
1166,116
297,147
1554,155
297,147
1554,155
223,111
583,58
297,147
971,97
75,37
971,97
38,19
1942,193
186,92
777,78
260,129
777,78
297,147
583,58
334,166
777,78
112,56
1748,174
334,166
1554,155
297,147
583,58
297,147
1166,116
334,166
1942,193
149,74
1360,135
297,147
195,20
371,184
777,78
297,147
777,78
297,147
389,39
297,147
1554,155
297,147
195,20
371,184
777,78
112,56
1942,193
297,147
195,20
112,56
1942,193
297,147
971,97
223,111
1554,155
297,147
1360,135
186,92
1942,193
334,166
1166,116
260,129
1166,116
371,184
583,58
371,184
389,39
260,129
389,39
38,19
777,78
223,111
583,58
186,92
777,78
75,37
1166,116
223,111
389,39
223,111
971,97
223,111
195,20
371,184
1942,193
149,74
1748,174
112,56
195,20
297,147
389,39
297,147
389,39
223,111
777,78
38,19
389,39
38,19
1942,193
38,19
971,97
149,74
1554,155
149,74
1748,174
223,111
1748,174
149,74
1166,116
334,166
389,39
260,129
971,97
112,56
389,39
223,111
1748,174
38,19
1360,135
297,147
1360,135
371,184
1360,135
75,37
1942,193
223,111
195,20
223,111
583,58
334,166
1942,193
186,92
583,58
38,19
1360,135
371,184
583,58
223,111
1166,116
334,166
1554,155
260,129
971,97
75,37
1942,193
297,147
971,97
371,184
389,39
260,129
1166,116
149,74
1166,116
223,111
1748,174
186,92
583,58
371,184
1942,193
186,92
1942,193
75,37
777,78
371,184
195,20
334,166
1360,135
334,166
583,58
75,37
971,97
260,129
1166,116
223,111
583,58
260,129
1942,193
149,74
777,78
297,147
1360,135
38,19
1748,174
260,129
1360,135
112,56
583,58
371,184
971,97
371,184
971,97
260,129
1748,174
186,92
389,39
112,56
1748,174
223,111
389,39
149,74
389,39
149,74
1166,116
334,166
1942,193
297,147
195,20
38,19
1360,135
223,111
195,20
260,129
777,78
38,19
1360,135
297,147
583,58
223,111
583,58
149,74
777,78
38,19
583,58
297,147
1942,193
75,37
1166,116
38,19
1360,135
38,19
389,39
223,111
1748,174
260,129
1166,116
38,19
1554,155
112,56
583,58
334,166
195,20
334,166
389,39
260,129
1748,174
334,166
1942,193
38,19
971,97
38,19
971,97
260,129
1554,155
149,74
1942,193
223,111
389,39
223,111
583,58
371,184
1942,193
334,166
777,78
371,184
777,78
186,92
583,58
186,92
1360,135
186,92
1360,135
149,74
195,20
38,19
1748,174
186,92
583,58
371,184
777,78
186,92
1166,116
112,56
1554,155
297,147
1360,135
334,166
389,39
297,147
971,97
75,37
195,20
260,129
1166,116
75,37
971,97
75,37
389,39
149,74
777,78
223,111
1166,116
223,111
1166,116
112,56
777,78
186,92
1942,193
223,111
583,58
149,74
583,58
260,129
195,20
75,37
195,20
260,129
777,78
75,37
1942,193
260,129
389,39
334,166
195,20
334,166
1360,135
149,74
971,97
260,129
389,39
371,184
389,39
223,111
777,78
38,19
971,97
38,19
389,39
260,129
1166,116
260,129
777,78
223,111
1748,174
334,166
1748,174
112,56
1554,155
223,111
389,39
186,92
195,20
149,74
195,20
260,129
1942,193
297,147
389,39
112,56
1748,174
371,184
777,78
334,166
1166,116
112,56
1748,174
38,19
389,39
112,56
777,78
38,19
389,39
223,111
583,58
297,147
1166,116
371,184
1166,116
149,74
1942,193
112,56
1942,193
75,37
195,20
186,92
583,58
223,111
1166,116
223,111
1360,135
38,19
1942,193
260,129
1554,155
297,147
1166,116
334,166
777,78
260,129
1554,155
334,166
389,39
149,74
1748,174
260,129
389,39
223,111
1942,193
75,37
1942,193
260,129
389,39
112,56
1166,116
112,56
389,39
297,147
1554,155
260,129
1942,193
334,166
1554,155
186,92
1748,174
297,147
971,97
260,129
389,39
186,92
1554,155
371,184
1554,155
297,147
777,78
223,111
583,58
223,111
1554,155
334,166
1166,116
75,37
1554,155
297,147
1360,135
112,56
971,97
260,129
389,39
223,111
195,20
260,129
1360,135
297,147
777,78
371,184
195,20
75,37
583,58
75,37
1166,116
149,74
195,20
260,129
1748,174
371,184
583,58
38,19
583,58
75,37
1554,155
260,129
195,20
75,37
389,39
112,56
1166,116
223,111
1360,135
297,147
389,39
223,111
195,20
297,147
583,58
223,111
1554,155
371,184
195,20
38,19
1748,174
149,74
583,58
297,147
1554,155
297,147
1748,174
260,129
583,58
260,129
1166,116
112,56
1554,155
297,147
777,78
186,92
1360,135
38,19
777,78
186,92
1360,135
223,111
777,78
297,147
583,58
149,74
1748,174
297,147
1942,193
38,19
583,58
112,56
1748,174
112,56
389,39
260,129
1554,155
334,166
195,20
38,19
583,58
223,111
389,39
149,74
195,20
149,74
583,58
260,129
389,39
297,147
971,97
297,147
389,39
223,111
1360,135
371,184
389,39
334,166
1748,174
75,37
1942,193
297,147
1942,193
38,19
777,78
75,37
971,97
112,56
1748,174
112,56
583,58
112,56
1748,174
75,37
1166,116
75,37
1166,116
371,184
971,97
149,74
1942,193
186,92
195,20
186,92
389,39
297,147
1748,174
334,166
1748,174
260,129
1554,155
75,37
1554,155
371,184
1748,174
260,129
389,39
334,166
1942,193
223,111
971,97
223,111
195,20
371,184
195,20
149,74
1748,174
260,129
583,58
371,184
1166,116
223,111
389,39
260,129
583,58
223,111
389,39
334,166
1748,174
112,56
1554,155
371,184
971,97
371,184
777,78
334,166
1748,174
223,111
1748,174
297,147
1360,135
75,37
583,58
223,111
971,97
112,56
389,39
260,129
389,39
371,184
1360,135
38,19
195,20
75,37
1360,135
371,184
1360,135
260,129
1554,155
297,147
1748,174
186,92
971,97
371,184
1748,174
186,92
1166,116
223,111
1554,155
112,56
1360,135
223,111
1166,116
149,74
1166,116
75,37
1942,193
75,37
1748,174
112,56
583,58
38,19
777,78
223,111
1748,174
334,166
389,39
297,147
1748,174
112,56
1360,135
334,166
1360,135
75,37
1554,155
112,56
583,58
112,56
1748,174
260,129
583,58
149,74
1166,116
223,111
1554,155
334,166
1748,174
371,184
1554,155
334,166
777,78
371,184
1748,174
75,37
777,78
334,166
1554,155
371,184
1360,135
260,129
1360,135
223,111
195,20
38,19
1942,193
334,166
1748,174
149,74
1166,116
260,129
1748,174
297,147
971,97
223,111
1748,174
334,166
777,78
75,37
389,39
334,166
583,58
260,129
1942,193
75,37
583,58
223,111
1554,155
371,184
1748,174
297,147
389,39
334,166
583,58
223,111
1748,174
149,74
971,97
38,19
1748,174
186,92
1554,155
223,111
971,97
149,74
1166,116
149,74
1360,135
297,147
777,78
223,111
389,39
149,74
389,39
38,19
971,97
223,111
1554,155
186,92
971,97
223,111
583,58
223,111
1748,174
371,184
1942,193
186,92
1748,174
297,147
389,39
334,166
1942,193
223,111
1166,116
297,147
777,78
149,74
1554,155
297,147
1166,116
38,19
1748,174
371,184
1942,193
371,184
389,39
223,111
195,20
223,111
195,20
260,129
1942,193
334,166
1360,135
38,19
1554,155
75,37
583,58
223,111
1166,116
112,56
971,97
371,184
1166,116
186,92
1748,174
371,184
1748,174
149,74
1360,135
260,129
1942,193
334,166
1360,135
223,111
1360,135
149,74
1360,135
223,111
971,97
149,74
1360,135
149,74
971,97
334,166
971,97
186,92
1554,155
260,129
971,97
371,184
971,97
38,19
195,20
186,92
777,78
149,74
777,78
186,92
389,39
260,129
1554,155
112,56
583,58
297,147
1166,116
334,166
1554,155
149,74
1360,135
371,184
1554,155
75,37
583,58
297,147
1942,193
260,129
583,58
223,111
1942,193
260,129
971,97
297,147
1748,174
260,129
583,58
149,74
1166,116
186,92
777,78
297,147
971,97
334,166
1748,174
371,184
1942,193
186,92
195,20
334,166
195,20
371,184
777,78
75,37
971,97
334,166
1166,116
260,129
389,39
260,129
971,97
149,74
1942,193
260,129
971,97
223,111
389,39
260,129
777,78
75,37
1166,116
186,92
583,58
297,147
389,39
149,74
971,97
186,92
1554,155
112,56
1554,155
75,37
389,39
112,56
1942,193
112,56
1942,193
186,92
971,97
38,19
1554,155
38,19
583,58
297,147
1166,116
334,166
777,78
334,166
1360,135
297,147
1554,155
149,74
1942,193
371,184
583,58
371,184
1360,135
297,147
777,78
75,37
1554,155
186,92
971,97
75,37
777,78
75,37
195,20
334,166
1748,174
223,111
195,20
260,129
1554,155
334,166
971,97
75,37
1166,116
223,111
389,39
75,37
1166,116
38,19
583,58
38,19
971,97
186,92
1360,135
371,184
1166,116
149,74
1748,174
38,19
1942,193
149,74
195,20
186,92
1166,116
149,74
1166,116
223,111
1942,193
75,37
389,39
38,19
1360,135
223,111
1360,135
75,37
1942,193
38,19
389,39
223,111
1166,116
149,74
1166,116
297,147
389,39
260,129
1942,193
38,19
1748,174
297,147
1166,116
223,111
1554,155
371,184
1942,193
260,129
583,58
297,147
777,78
297,147
1360,135
297,147
583,58
38,19
583,58
149,74
1166,116
223,111
389,39
38,19
195,20
371,184
1748,174
186,92
195,20
38,19
1748,174
186,92
1166,116
223,111
195,20
149,74
583,58
334,166
971,97
112,56
1360,135
260,129
1360,135
260,129
1554,155
297,147
777,78
112,56
777,78
223,111
1360,135
334,166
1554,155
223,111
1554,155
149,74
777,78
223,111
1554,155
149,74
1360,135
75,37
583,58
371,184
971,97
186,92
1166,116
38,19
195,20
38,19
389,39
112,56
1360,135
223,111
777,78
149,74
389,39
297,147
583,58
334,166
1554,155
223,111
1748,174
371,184
1166,116
334,166
389,39
223,111
971,97
112,56
777,78
297,147
1942,193
297,147
583,58
371,184
1942,193
149,74
583,58
186,92
195,20
223,111
1554,155
371,184
1166,116
186,92
1360,135
112,56
1748,174
112,56
195,20
75,37
1748,174
75,37
389,39
260,129
195,20
223,111
1166,116
334,166
389,39
75,37
971,97
38,19
777,78
334,166
971,97
334,166
1942,193
186,92
1554,155
186,92
195,20
75,37
1554,155
75,37
971,97
75,37
1166,116
75,37
1554,155
186,92
389,39
334,166
1748,174
223,111
583,58
371,184
971,97
75,37
1748,174
260,129
971,97
186,92
1360,135
334,166
1942,193
223,111
1942,193
186,92
195,20
297,147
1360,135
75,37
1942,193
334,166
1360,135
186,92
195,20
223,111
1748,174
186,92
195,20
149,74
583,58
75,37
1166,116
38,19
1748,174
297,147
1554,155
186,92
1748,174
297,147
1360,135
334,166
1942,193
112,56
389,39
334,166
1748,174
334,166
1166,116
112,56
583,58
334,166
1554,155
260,129
1748,174
223,111
777,78
334,166
1166,116
371,184
1748,174
371,184
1748,174
38,19
1166,116
223,111
1748,174
75,37
583,58
186,92
1748,174
75,37
195,20
334,166
389,39
186,92
777,78
38,19
1942,193
149,74
971,97
260,129
1166,116
297,147
971,97
149,74
1942,193
186,92
1748,174
223,111
1942,193
371,184
777,78
260,129
1360,135
223,111
971,97
223,111
583,58
334,166
1554,155
260,129
583,58
223,111
195,20
297,147
389,39
260,129
1554,155
371,184
971,97
371,184
1360,135
334,166
1360,135
186,92
195,20
149,74
1942,193
186,92
777,78
371,184
1748,174
260,129
1166,116
260,129
389,39
186,92
1942,193
186,92
1554,155
260,129
1166,116
371,184
1166,116
223,111
583,58
223,111
1360,135
334,166
1942,193
75,37
583,58
371,184
1942,193
38,19
1942,193
297,147
1360,135
112,56
195,20
75,37
195,20
38,19
389,39
334,166
583,58
149,74
1942,193
297,147
1554,155
38,19
777,78
38,19
971,97
75,37
1360,135
38,19
1942,193
260,129
1554,155
223,111
1360,135
297,147
583,58
371,184
195,20
149,74
583,58
112,56
971,97
260,129
777,78
149,74
1166,116
260,129
971,97
371,184
389,39
260,129
1166,116
260,129
1360,135
112,56
1166,116
260,129
195,20
186,92
1942,193
260,129
1942,193
186,92
1748,174
38,19
1360,135
38,19
777,78
75,37
1166,116
75,37
195,20
186,92
1166,116
149,74
1554,155
186,92
389,39
297,147
1554,155
260,129
1748,174
186,92
971,97
75,37
1166,116
260,129
1748,174
297,147
1942,193
371,184
1554,155
297,147
1360,135
186,92
389,39
38,19
389,39
334,166
195,20
260,129
1942,193
75,37
1166,116
75,37
971,97
334,166
1360,135
223,111
1942,193
112,56
389,39
297,147
1748,174
223,111
1166,116
223,111
971,97
334,166
971,97
260,129
971,97
297,147
583,58
112,56
1748,174
38,19
777,78
112,56
583,58
186,92
195,20
371,184
1942,193
371,184
389,39
75,37
1166,116
149,74
195,20
186,92
389,39
38,19
1748,174
149,74
777,78
260,129
1942,193
334,166
1748,174
260,129
1166,116
38,19
1166,116
260,129
1554,155
38,19
1166,116
223,111
1166,116
38,19
1748,174
223,111
1360,135
334,166
1360,135
260,129
1360,135
223,111
195,20
75,37
389,39
260,129
1554,155
186,92
971,97
297,147
777,78
75,37
1942,193
112,56
1166,116
297,147
1942,193
186,92
777,78
260,129
583,58
112,56
777,78
186,92
1554,155
334,166
971,97
223,111
971,97
186,92
195,20
75,37
777,78
297,147
583,58
186,92
389,39
38,19
583,58
112,56
1748,174
223,111
1166,116
38,19
389,39
223,111
389,39
223,111
583,58
38,19
777,78
223,111
389,39
260,129
195,20
38,19
777,78
186,92
195,20
38,19
195,20
75,37
971,97
297,147
1748,174
297,147
583,58
186,92
1942,193
371,184
1360,135
186,92
583,58
75,37
195,20
371,184
1166,116
371,184
583,58
260,129
195,20
38,19
583,58
260,129
777,78
149,74
1166,116
112,56
1360,135
260,129
195,20
260,129
1554,155
186,92
1360,135
223,111
583,58
38,19
1942,193
223,111
1166,116
371,184
1748,174
223,111
1554,155
371,184
1748,174
38,19
1748,174
149,74
1554,155
334,166
389,39
149,74
1748,174
186,92
195,20
149,74
971,97
260,129
195,20
149,74
1748,174
297,147
1554,155
334,166
1942,193
149,74
971,97
186,92
195,20
149,74
1166,116
297,147
1554,155
223,111
583,58
149,74
583,58
334,166
1942,193
223,111
583,58
297,147
1942,193
75,37
1166,116
223,111
1554,155
297,147
1942,193
112,56
195,20
75,37
1554,155
223,111
1166,116
186,92
1942,193
186,92
389,39
149,74
389,39
297,147
777,78
38,19
971,97
112,56
971,97
112,56
1554,155
223,111
1942,193
260,129
777,78
297,147
1554,155
223,111
